location_x,location_y,PCI,RSRP,RSRQ,SNR
742.0,210.0,41,-83.8,-6.8,15.5
742.0,210.0,41,-85.4,-7.1,15.6
742.0,210.0,41,-85.9,-7.1,15.1
742.0,210.0,41,-85.8,-7.3,15.3
742.0,210.0,41,-85.3,-7.1,15.4
742.0,210.0,41,-85.1,-7.1,15.8
742.0,210.0,41,-85.3,-7.1,15.5
742.0,210.0,41,-85.5,-7.3,15.3
742.0,210.0,41,-85.6,-7.1,15.6
742.0,210.0,41,-86.0,-7.2,16.0
742.0,210.0,41,-86.2,-7.7,15.3
742.0,210.0,41,-86.2,-7.3,14.8
742.0,210.0,41,-86.9,-6.8,15.1
742.0,210.0,41,-84.2,-7.1,16.1
742.0,210.0,41,-83.5,-6.6,15.5
742.0,210.0,41,-84.4,-6.9,15.9
742.0,210.0,41,-85.4,-7.4,15.3
742.0,210.0,41,-85.4,-6.9,14.2
742.0,210.0,41,-86.4,-7.0,15.5
742.0,210.0,41,-86.7,-6.8,15.4
742.0,210.0,41,-86.4,-7.7,16.0
742.0,210.0,41,-86.1,-8.2,15.9
742.0,210.0,41,-85.5,-7.1,15.0
742.0,210.0,41,-85.9,-7.5,15.7
742.0,210.0,41,-84.3,-6.4,16.0
742.0,210.0,41,-86.4,-6.8,15.7
742.0,210.0,41,-86.1,-6.7,15.4
742.0,210.0,41,-86.3,-7.0,14.7
742.0,210.0,41,-86.4,-6.7,14.6
742.0,210.0,41,-86.3,-6.5,16.0
742.0,210.0,41,-85.9,-6.5,15.9
742.0,210.0,41,-86.1,-6.6,16.0
742.0,210.0,41,-86.9,-6.6,15.3
742.0,210.0,41,-86.2,-6.8,14.7
742.0,210.0,41,-86.6,-6.4,14.4
742.0,210.0,41,-86.9,-6.3,14.6
742.0,210.0,41,-86.9,-6.4,14.4
742.0,210.0,41,-86.7,-7.5,14.8
742.0,210.0,41,-86.4,-7.3,14.6
742.0,210.0,41,-86.4,-6.4,15.1
742.0,210.0,41,-86.6,-6.3,14.8
742.0,210.0,41,-85.7,-7.6,14.1
742.0,210.0,41,-86.1,-6.6,15.8
742.0,210.0,41,-86.0,-6.3,15.6
742.0,210.0,41,-86.2,-6.8,16.4
742.0,210.0,41,-85.3,-7.0,15.8
742.0,210.0,41,-84.9,-6.9,17.2
742.0,210.0,41,-83.8,-7.0,17.3
742.0,210.0,41,-84.5,-5.9,18.4
742.0,210.0,41,-84.8,-5.6,19.0
742.0,210.0,41,-86.2,-6.9,18.6
742.0,210.0,41,-86.0,-6.5,19.0
742.0,210.0,41,-85.9,-6.2,18.8
742.0,210.0,41,-85.6,-6.3,18.6
742.0,210.0,41,-83.5,-6.1,19.2
742.0,210.0,41,-85.2,-6.1,18.1
742.0,210.0,41,-84.9,-6.9,16.1
742.0,210.0,41,-85.8,-6.9,16.3
742.0,210.0,41,-86.8,-6.9,17.2
742.0,210.0,41,-84.7,-6.9,16.7
742.0,210.0,41,-86.4,-7.6,16.5
742.0,210.0,41,-86.0,-5.8,15.9
742.0,210.0,41,-85.3,-7.0,16.4
742.0,210.0,41,-84.7,-6.9,15.2
742.0,210.0,41,-84.6,-6.1,18.9
742.0,210.0,41,-85.8,-6.5,19.2
742.0,210.0,41,-85.3,-6.6,18.7
742.0,210.0,41,-85.9,-6.4,18.0
742.0,210.0,41,-86.6,-6.6,18.3
742.0,210.0,41,-86.3,-6.7,17.4
742.0,210.0,41,-86.8,-6.2,18.3
742.0,210.0,41,-85.1,-6.3,18.2
742.0,210.0,41,-85.9,-6.3,18.4
742.0,210.0,41,-84.3,-6.3,18.8
742.0,210.0,41,-84.2,-6.6,16.7
742.0,210.0,41,-83.4,-6.3,17.1
742.0,210.0,41,-84.8,-6.4,19.3
742.0,210.0,41,-84.9,-6.6,19.3
742.0,210.0,41,-84.3,-6.5,18.4
742.0,210.0,41,-84.9,-7.1,17.7
742.0,210.0,41,-84.8,-7.2,17.3
742.0,210.0,41,-86.9,-7.6,15.8
742.0,210.0,41,-86.3,-7.8,14.1
742.0,210.0,41,-86.1,-7.9,13.6
742.0,210.0,41,-85.6,-7.7,14.1
742.0,210.0,41,-86.4,-8.1,14.9
742.0,210.0,41,-86.8,-8.4,14.4
742.0,210.0,41,-86.1,-8.2,13.6
742.0,210.0,41,-87.1,-7.9,14.1
742.0,210.0,41,-87.1,-7.9,13.9
742.0,210.0,41,-86.4,-6.9,14.3
742.0,210.0,41,-87.5,-7.1,14.6
742.0,210.0,41,-88.3,-7.2,13.1
742.0,210.0,41,-88.1,-6.9,14.6
742.0,210.0,41,-88.8,-6.9,14.6
742.0,210.0,41,-86.4,-5.6,15.9
742.0,210.0,41,-83.4,-6.6,16.6
742.0,210.0,41,-84.9,-6.8,18.9
742.0,210.0,41,-85.0,-6.3,18.9
742.0,210.0,41,-86.2,-6.3,18.0
742.0,210.0,41,-85.9,-6.4,16.5
742.0,210.0,41,-84.8,-6.4,17.1
742.0,210.0,41,-85.4,-6.7,16.7
742.0,210.0,41,-85.3,-6.6,17.2
742.0,210.0,41,-85.6,-6.5,17.5
742.0,210.0,41,-85.5,-6.5,17.6
742.0,210.0,41,-85.7,-6.6,18.4
742.0,210.0,41,-86.3,-6.6,18.8
742.0,210.0,41,-86.1,-6.6,18.4
742.0,210.0,41,-84.9,-6.4,18.7
742.0,210.0,41,-84.9,-6.3,18.5
742.0,210.0,41,-84.8,-6.4,18.7
742.0,210.0,41,-85.9,-6.7,18.3
742.0,210.0,41,-84.4,-6.3,19.2
742.0,210.0,41,-85.3,-6.3,19.7
742.0,210.0,41,-85.9,-6.1,18.7
742.0,210.0,41,-86.3,-6.3,18.4
742.0,210.0,41,-86.4,-6.4,19.7
742.0,210.0,41,-85.6,-6.5,19.2
742.0,210.0,41,-85.7,-6.3,19.3
742.0,210.0,41,-84.9,-6.4,20.3
742.0,210.0,41,-86.6,-6.3,19.8
742.0,210.0,41,-86.1,-6.2,18.7
742.0,210.0,41,-85.8,-6.4,19.6
