location_x,location_y,PCI,RSRP,RSRQ,SNR
419.0,122.0,39,-120.1,-14.3,
419.0,122.0,38,-110.2,-7.1,
419.0,122.0,38,-110.4,-7.6,
419.0,122.0,38,-109.6,-7.4,
419.0,122.0,39,-120.1,-14.9,
448.0,124.0,38,-101.4,-6.3,21.3
448.0,124.0,38,-102.4,-6.4,16.3
448.0,124.0,38,-104.3,-6.4,18.9
448.0,124.0,38,-103.4,-7.6,17.6
448.0,124.0,38,-101.6,-6.6,18.3
448.0,124.0,38,-99.3,-6.1,16.4
448.0,124.0,38,-97.5,-6.1,17.5
448.0,124.0,38,-98.7,-6.1,18.3
448.0,124.0,38,-99.5,-6.0,17.8
448.0,124.0,38,-99.8,-6.6,17.4
448.0,124.0,38,-98.5,-6.6,18.9
448.0,124.0,38,-100.2,-6.4,19.3
448.0,124.0,38,-100.3,-6.3,17.3
448.0,124.0,38,-99.9,-6.1,18.1
448.0,124.0,38,-99.8,-6.2,18.3
448.0,124.0,38,-100.3,-6.3,19.3
448.0,124.0,38,-99.8,-6.4,20.0
448.0,124.0,38,-99.6,-6.3,19.6
448.0,124.0,38,-99.6,-6.3,18.7
448.0,124.0,38,-99.8,-6.4,20.0
448.0,124.0,38,-99.7,-6.4,19.4
448.0,124.0,38,-99.1,-6.4,20.3
448.0,124.0,38,-99.7,-6.3,20.2
448.0,124.0,38,-99.1,-6.3,20.6
448.0,124.0,38,-99.7,-6.3,21.4
448.0,124.0,38,-100.1,-6.5,19.6
448.0,124.0,38,-99.7,-6.3,19.0
448.0,124.0,38,-99.3,-6.2,19.5
448.0,124.0,38,-99.3,-6.3,20.2
448.0,124.0,38,-98.9,-6.3,20.8
448.0,124.0,38,-98.9,-6.3,20.0
448.0,124.0,38,-99.3,-6.3,21.5
448.0,124.0,38,-99.6,-6.4,20.9
448.0,124.0,38,-99.1,-6.4,21.0
448.0,124.0,38,-98.8,-6.1,21.3
448.0,124.0,38,-99.2,-6.4,20.8
448.0,124.0,38,-99.1,-6.4,20.7
448.0,124.0,38,-99.4,-6.3,21.1
448.0,124.0,38,-99.2,-6.5,20.0
448.0,124.0,38,-98.9,-6.2,20.5
448.0,124.0,38,-99.0,-6.8,20.3
448.0,124.0,38,-98.8,-6.0,19.5
448.0,124.0,38,-99.8,-7.9,18.8
448.0,124.0,38,-97.4,-6.4,20.6
448.0,124.0,38,-98.1,-5.8,20.5
448.0,124.0,38,-97.4,-5.9,20.3
448.0,124.0,38,-99.3,-6.6,19.9
448.0,124.0,38,-99.7,-6.4,20.2
448.0,124.0,38,-99.1,-6.3,21.1
448.0,124.0,38,-98.7,-6.0,21.7
448.0,124.0,38,-99.1,-6.8,22.1
448.0,124.0,38,-98.9,-6.4,22.2
448.0,124.0,38,-98.9,-6.3,21.1
448.0,124.0,38,-99.2,-6.2,21.4
448.0,124.0,38,-99.3,-6.3,21.0
448.0,124.0,38,-99.2,-6.3,21.8
448.0,124.0,38,-99.3,-6.3,21.9
448.0,124.0,38,-99.3,-6.3,20.9
448.0,124.0,38,-99.4,-6.4,20.3
448.0,124.0,38,-99.1,-6.2,20.4
448.0,124.0,38,-99.4,-6.4,19.8
448.0,124.0,38,-99.2,-6.4,19.9
448.0,124.0,38,-99.3,-6.4,18.4
448.0,124.0,38,-99.4,-6.4,19.6
448.0,124.0,38,-99.7,-6.3,20.6
448.0,124.0,38,-99.6,-6.3,20.0
448.0,124.0,38,-99.1,-6.4,20.8
448.0,124.0,38,-99.3,-6.4,21.5
448.0,124.0,38,-99.3,-6.4,21.7
448.0,124.0,38,-99.0,-6.3,19.8
448.0,124.0,38,-98.7,-6.3,19.2
448.0,124.0,38,-99.6,-6.5,19.3
448.0,124.0,38,-99.6,-6.4,18.7
448.0,124.0,38,-99.7,-6.4,19.2
448.0,124.0,38,-99.9,-6.3,20.6
448.0,124.0,38,-100.2,-6.4,20.0
448.0,124.0,38,-99.6,-6.3,17.4
448.0,124.0,38,-99.1,-6.4,19.4
448.0,124.0,38,-99.8,-6.6,19.7
448.0,124.0,38,-99.1,-6.3,18.9
448.0,124.0,38,-99.1,-6.4,20.9
448.0,124.0,38,-100.0,-6.3,20.5
448.0,124.0,38,-100.0,-6.3,19.5
448.0,124.0,38,-99.4,-6.3,19.0
448.0,124.0,38,-99.8,-6.3,18.7
448.0,124.0,38,-100.6,-6.4,18.7
448.0,124.0,38,-100.3,-6.4,19.0
448.0,124.0,38,-99.4,-6.4,19.8
448.0,124.0,38,-100.1,-6.3,18.0
448.0,124.0,38,-100.4,-6.4,18.3
448.0,124.0,38,-100.8,-6.5,18.9
448.0,124.0,38,-100.0,-6.5,18.7
448.0,124.0,38,-99.2,-6.6,18.3
448.0,124.0,38,-100.3,-6.4,18.7
448.0,124.0,38,-99.8,-6.5,18.8
448.0,124.0,38,-99.3,-6.4,19.8
448.0,124.0,38,-98.8,-6.4,18.2
448.0,124.0,38,-99.1,-6.4,17.5
448.0,124.0,38,-98.8,-6.3,17.6
448.0,124.0,38,-98.6,-6.5,17.7
448.0,124.0,38,-99.0,-6.6,18.0
448.0,124.0,38,-99.3,-6.4,17.6
448.0,124.0,38,-99.6,-6.4,17.8
448.0,124.0,38,-100.4,-6.3,19.1
448.0,124.0,38,-100.0,-6.3,18.3
448.0,124.0,38,-98.6,-6.2,19.7
448.0,124.0,38,-99.4,-6.3,19.9
448.0,124.0,38,-100.1,-6.4,19.2
448.0,124.0,38,-99.8,-6.4,19.8
448.0,124.0,38,-100.4,-6.5,17.5
448.0,124.0,38,-100.1,-6.3,19.3
448.0,124.0,38,-100.1,-6.3,18.5
448.0,124.0,38,-100.4,-6.4,18.7
448.0,124.0,38,-99.7,-6.4,17.6
448.0,124.0,38,-98.4,-6.3,18.9
448.0,124.0,38,-98.4,-6.3,18.6
448.0,124.0,38,-99.8,-6.3,20.5
448.0,124.0,38,-99.7,-6.2,19.0
448.0,124.0,38,-99.6,-6.1,20.6
448.0,124.0,38,-99.9,-6.0,21.6
448.0,124.0,38,-99.9,-6.4,20.6
448.0,124.0,38,-100.4,-5.9,20.6
448.0,124.0,38,-99.8,-6.2,20.6
448.0,124.0,38,-100.0,-6.2,21.0
448.0,124.0,38,-99.7,-6.2,20.4
448.0,124.0,38,-100.0,-6.3,19.7
448.0,124.0,38,-99.8,-6.5,18.1
448.0,124.0,38,-100.1,-6.2,19.8
448.0,124.0,38,-100.0,-6.3,20.6
448.0,124.0,38,-99.6,-6.8,19.1
448.0,124.0,38,-99.8,-6.1,19.0
448.0,124.0,38,-98.6,-6.3,19.1
448.0,124.0,38,-99.4,-5.6,16.7
448.0,124.0,38,-100.8,-5.8,19.1
448.0,124.0,38,-100.8,-7.9,17.6
448.0,124.0,38,-98.9,-5.3,16.8
448.0,124.0,38,-99.2,-5.5,17.9
448.0,124.0,38,-100.1,-5.8,18.4
448.0,124.0,38,-100.3,-6.1,19.9
448.0,124.0,38,-100.4,-6.3,19.4
448.0,124.0,38,-100.3,-6.2,18.6
448.0,124.0,38,-99.9,-6.3,19.1
448.0,124.0,38,-99.6,-6.2,18.2
448.0,124.0,38,-98.3,-6.2,19.5
448.0,124.0,38,-98.9,-6.5,19.1
448.0,124.0,38,-99.3,-6.4,19.9
