location_x,location_y,PCI,RSRP,RSRQ,SNR
698.0,185.0,41,-99.6,-6.3,21.5
698.0,185.0,41,-101.7,-6.4,21.0
698.0,185.0,41,-101.8,-6.4,18.3
698.0,185.0,41,-100.2,-6.3,18.7
698.0,185.0,41,-99.3,-6.3,19.5
698.0,185.0,41,-99.4,-6.3,20.8
698.0,185.0,41,-94.9,-6.0,21.8
698.0,185.0,41,-95.9,-6.1,23.6
698.0,185.0,41,-98.3,-6.2,21.3
698.0,185.0,41,-98.7,-6.1,21.4
698.0,185.0,41,-99.9,-6.4,20.5
698.0,185.0,41,-100.6,-6.7,17.1
698.0,185.0,41,-99.5,-6.2,19.5
698.0,185.0,41,-97.8,-6.3,22.9
698.0,185.0,41,-100.1,-6.5,20.4
698.0,185.0,41,-99.1,-7.3,15.3
698.0,185.0,41,-99.0,-7.5,15.1
698.0,185.0,41,-99.2,-8.8,15.0
698.0,185.0,41,-98.6,-7.4,17.3
698.0,185.0,41,-98.8,-12.8,5.3
698.0,185.0,41,-99.9,-19.8,-8.9
698.0,185.0,41,-98.8,-13.6,-0.9
698.0,185.0,41,-98.6,-9.1,3.9
698.0,185.0,41,-98.5,-9.2,5.2
698.0,185.0,41,-98.8,-9.7,3.6
698.0,185.0,41,-99.0,-10.4,2.8
698.0,185.0,41,-99.2,-9.3,2.8
698.0,185.0,41,-98.9,-10.9,3.5
698.0,185.0,41,-99.7,-8.4,4.5
698.0,185.0,39,-102.8,-8.8,5.3
698.0,185.0,41,-98.9,-9.4,2.5
698.0,185.0,41,-99.1,-9.1,4.3
698.0,185.0,41,-99.0,-8.1,5.1
698.0,185.0,41,-99.2,-13.4,1.8
698.0,185.0,41,-98.8,-13.4,3.1
698.0,185.0,41,-98.9,-11.2,1.3
698.0,185.0,41,-98.9,-9.6,1.3
698.0,185.0,41,-98.8,-8.1,2.6
698.0,185.0,41,-98.9,-6.1,16.0
698.0,185.0,41,-99.1,-6.2,20.8
698.0,185.0,41,-99.3,-6.2,20.5
698.0,185.0,41,-99.4,-6.6,20.3
698.0,185.0,41,-99.3,-6.2,20.4
