location_x,location_y,PCI,RSRP,RSRQ,SNR
672.0,284.0,40,-69.2,-6.3,27.8
672.0,284.0,40,-70.9,-6.2,28.3
672.0,284.0,40,-70.9,-6.3,27.5
672.0,284.0,40,-69.8,-5.8,28.3
672.0,284.0,40,-70.3,-6.1,28.5
672.0,284.0,40,-71.1,-6.1,28.1
672.0,284.0,40,-70.7,-6.1,27.9
672.0,284.0,40,-70.9,-6.1,28.6
672.0,284.0,40,-71.2,-6.0,27.8
672.0,284.0,40,-71.7,-6.3,28.5
672.0,284.0,40,-72.3,-6.1,29.1
672.0,284.0,40,-72.7,-6.1,28.3
672.0,284.0,40,-72.7,-6.1,27.6
672.0,284.0,40,-72.8,-6.1,27.8
672.0,284.0,40,-73.1,-6.1,27.3
672.0,284.0,40,-70.9,-6.1,27.4
672.0,284.0,40,-71.8,-6.1,28.0
672.0,284.0,40,-72.0,-6.1,27.4
672.0,284.0,40,-71.4,-6.1,28.5
672.0,284.0,40,-71.8,-6.1,27.7
672.0,284.0,40,-71.3,-6.1,27.9
672.0,284.0,40,-72.1,-6.1,27.3
672.0,284.0,40,-71.6,-6.1,27.9
672.0,284.0,40,-71.6,-6.1,28.7
672.0,284.0,40,-71.5,-6.1,27.4
672.0,284.0,40,-70.9,-6.1,27.9
672.0,284.0,40,-71.1,-6.1,28.1
672.0,284.0,40,-71.0,-6.1,27.5
672.0,284.0,40,-71.3,-6.2,27.0
672.0,284.0,40,-71.8,-6.2,27.2
672.0,284.0,40,-71.6,-6.1,27.1
672.0,284.0,40,-70.4,-6.0,27.2
672.0,284.0,40,-72.2,-6.2,27.1
672.0,284.0,40,-71.8,-5.9,27.2
672.0,284.0,40,-71.4,-6.1,27.1
672.0,284.0,40,-70.8,-6.1,27.4
672.0,284.0,40,-71.0,-6.2,27.2
672.0,284.0,40,-71.1,-6.3,27.2
672.0,284.0,40,-70.8,-6.3,27.5
672.0,284.0,40,-70.9,-6.3,27.4
672.0,284.0,40,-70.9,-6.0,27.2
672.0,284.0,40,-71.1,-6.1,27.2
672.0,284.0,40,-71.0,-6.6,27.6
672.0,284.0,40,-71.1,-6.3,27.4
672.0,284.0,40,-70.9,-6.3,27.8
672.0,284.0,40,-70.9,-6.2,27.1
672.0,284.0,40,-70.5,-6.1,27.3
672.0,284.0,40,-70.5,-6.1,27.8
672.0,284.0,40,-70.4,-6.1,27.8
672.0,284.0,40,-70.4,-6.1,27.9
672.0,284.0,40,-70.4,-6.2,27.9
672.0,284.0,40,-70.5,-6.0,27.8
672.0,284.0,40,-70.5,-6.1,27.9
672.0,284.0,40,-70.6,-6.2,27.5
672.0,284.0,40,-70.6,-6.1,27.3
672.0,284.0,40,-70.6,-6.1,27.3
672.0,284.0,40,-70.6,-6.1,27.5
672.0,284.0,40,-70.6,-6.1,28.0
672.0,284.0,40,-70.8,-6.1,27.8
672.0,284.0,40,-70.8,-6.1,29.0
672.0,284.0,40,-71.1,-6.1,27.8
672.0,284.0,40,-71.9,-6.1,28.8
672.0,284.0,40,-73.1,-6.3,27.0
672.0,284.0,40,-72.0,-5.9,27.2
672.0,284.0,40,-71.3,-6.2,27.4
672.0,284.0,40,-72.3,-5.9,27.1
672.0,284.0,40,-72.3,-6.3,27.1
672.0,284.0,40,-72.4,-6.2,26.9
672.0,284.0,40,-72.3,-6.2,27.0
672.0,284.0,40,-72.0,-6.1,27.2
672.0,284.0,40,-72.1,-6.3,27.1
672.0,284.0,40,-72.1,-6.2,26.9
672.0,284.0,40,-71.8,-6.1,27.1
672.0,284.0,40,-71.9,-6.2,27.4
672.0,284.0,40,-72.1,-6.1,27.2
672.0,284.0,40,-72.0,-6.0,27.2
672.0,284.0,40,-71.8,-6.1,26.9
672.0,284.0,40,-72.1,-6.1,26.9
672.0,284.0,40,-72.4,-6.2,27.3
672.0,284.0,40,-72.6,-6.2,27.2
672.0,284.0,40,-71.8,-6.3,27.4
672.0,284.0,40,-71.8,-6.1,27.5
672.0,284.0,40,-72.0,-6.3,27.5
672.0,284.0,40,-72.1,-6.1,27.3
672.0,284.0,40,-72.1,-6.3,27.4
672.0,284.0,40,-72.3,-6.1,27.7
672.0,284.0,40,-72.3,-6.1,27.6
672.0,284.0,40,-72.3,-6.2,27.8
672.0,284.0,40,-72.4,-6.1,29.0
672.0,284.0,40,-72.6,-6.1,28.3
672.0,284.0,40,-72.4,-6.1,27.5
672.0,284.0,40,-72.1,-6.2,27.4
672.0,284.0,40,-72.1,-6.1,27.5
672.0,284.0,40,-72.1,-6.1,27.3
672.0,284.0,40,-72.0,-6.1,27.5
672.0,284.0,40,-71.9,-6.0,27.5
672.0,284.0,40,-72.7,-6.2,27.4
672.0,284.0,40,-71.5,-6.1,27.5
672.0,284.0,40,-72.3,-5.9,27.5
672.0,284.0,40,-72.8,-6.2,27.9
672.0,284.0,40,-72.5,-6.1,27.3
672.0,284.0,40,-72.1,-5.6,27.5
672.0,284.0,40,-72.7,-6.1,27.7
672.0,284.0,40,-71.8,-6.2,27.9
672.0,284.0,40,-71.4,-6.2,27.8
672.0,284.0,40,-71.8,-5.7,27.5
672.0,284.0,40,-72.8,-6.1,27.4
672.0,284.0,40,-71.9,-6.1,27.8
672.0,284.0,40,-71.2,-6.3,27.7
672.0,284.0,40,-71.1,-6.1,28.0
672.0,284.0,40,-70.6,-6.1,28.3
672.0,284.0,40,-70.6,-6.1,28.5
672.0,284.0,40,-70.0,-6.0,28.4
672.0,284.0,40,-71.3,-5.9,27.2
672.0,284.0,40,-73.3,-6.1,28.2
672.0,284.0,40,-72.3,-6.2,28.5
672.0,284.0,40,-74.8,-6.2,28.3
672.0,284.0,40,-73.4,-5.8,27.9
672.0,284.0,40,-71.6,-6.0,27.9
672.0,284.0,40,-71.2,-6.0,27.8
672.0,284.0,40,-72.9,-6.1,27.8
672.0,284.0,40,-72.4,-6.0,27.7
672.0,284.0,40,-72.1,-6.2,27.6
672.0,284.0,40,-74.1,-6.1,27.9
672.0,284.0,40,-72.1,-6.1,27.9
672.0,284.0,40,-72.3,-6.1,27.6
672.0,284.0,40,-73.0,-5.9,27.9
672.0,284.0,40,-72.5,-6.1,27.7
672.0,284.0,40,-72.4,-6.2,27.9
689.0,241.0,39,-89.4,-5.7,13.6
689.0,241.0,39,-89.5,-6.4,15.5
689.0,241.0,39,-90.1,-6.7,15.1
689.0,241.0,39,-89.8,-6.9,12.4
689.0,241.0,39,-89.4,-6.3,13.6
689.0,241.0,39,-90.4,-7.8,7.8
689.0,241.0,39,-95.6,-8.7,-0.1
689.0,241.0,39,-93.5,-7.6,4.3
689.0,241.0,39,-91.8,-8.2,4.4
689.0,241.0,40,-75.9,-6.1,28.5
689.0,241.0,40,-76.0,-6.1,27.9
689.0,241.0,40,-75.8,-6.1,28.4
689.0,241.0,40,-75.4,-6.1,28.3
689.0,241.0,40,-75.3,-6.1,28.3
689.0,241.0,40,-75.5,-6.1,28.9
