location_x,location_y,PCI,RSRP,RSRQ,SNR
698.0,213.0,39,-78.6,-7.0,19.6
698.0,213.0,39,-76.9,-6.4,21.0
698.0,213.0,39,-77.6,-6.1,22.8
698.0,213.0,39,-78.3,-6.5,21.1
698.0,213.0,39,-78.0,-6.8,20.2
698.0,213.0,39,-78.1,-6.8,20.5
698.0,213.0,39,-77.9,-6.7,18.4
698.0,213.0,39,-77.6,-6.5,20.0
698.0,213.0,39,-77.6,-6.6,20.8
698.0,213.0,39,-77.1,-7.3,20.2
698.0,213.0,39,-77.9,-6.7,20.3
698.0,213.0,39,-77.4,-6.2,20.1
698.0,213.0,39,-77.4,-6.4,20.7
698.0,213.0,39,-78.1,-6.6,20.6
698.0,213.0,39,-77.4,-7.6,20.4
698.0,213.0,39,-77.2,-6.6,20.3
698.0,213.0,39,-77.4,-6.6,19.8
698.0,213.0,39,-77.0,-6.4,20.5
698.0,213.0,39,-76.9,-6.3,20.6
698.0,213.0,39,-76.8,-7.6,21.0
698.0,213.0,39,-76.7,-6.6,21.4
698.0,213.0,39,-76.7,-6.6,21.3
698.0,213.0,39,-76.8,-6.2,21.2
698.0,213.0,39,-76.8,-6.6,21.9
698.0,213.0,39,-76.7,-6.6,21.0
698.0,213.0,39,-76.6,-6.5,21.6
698.0,213.0,39,-77.1,-6.5,21.7
698.0,213.0,39,-76.8,-6.6,20.2
698.0,213.0,39,-76.6,-6.2,21.0
698.0,213.0,39,-76.6,-6.3,21.0
698.0,213.0,39,-76.8,-6.6,20.6
698.0,213.0,39,-77.3,-6.3,19.3
698.0,213.0,39,-77.4,-6.3,19.5
698.0,213.0,39,-77.3,-6.3,19.9
698.0,213.0,39,-77.6,-6.7,21.0
698.0,213.0,39,-77.0,-6.4,21.0
698.0,213.0,39,-77.9,-6.7,20.7
698.0,213.0,39,-77.4,-7.3,20.8
698.0,213.0,39,-77.4,-6.1,21.0
698.0,213.0,39,-77.8,-6.6,20.7
698.0,213.0,39,-77.5,-6.6,20.8
698.0,213.0,39,-77.8,-6.4,20.5
698.0,213.0,39,-77.4,-6.5,20.8
698.0,213.0,39,-77.3,-6.6,20.8
698.0,213.0,39,-77.5,-7.4,20.9
698.0,213.0,39,-77.7,-6.5,20.7
698.0,213.0,39,-77.1,-6.4,20.5
698.0,213.0,39,-76.6,-6.6,20.5
698.0,213.0,39,-76.8,-6.6,20.8
698.0,213.0,39,-76.5,-6.6,21.1
743.0,212.0,41,-79.9,-6.4,18.6
743.0,212.0,41,-80.1,-6.4,18.4
743.0,212.0,41,-80.4,-6.4,17.6
743.0,212.0,41,-80.3,-6.4,17.4
743.0,212.0,41,-80.3,-6.4,17.7
743.0,212.0,41,-80.0,-6.4,19.0
743.0,212.0,41,-78.8,-6.3,21.0
743.0,212.0,41,-79.1,-6.3,19.0
743.0,212.0,41,-78.6,-6.3,19.7
743.0,212.0,41,-79.1,-6.3,20.3
743.0,212.0,41,-79.0,-6.4,19.1
743.0,212.0,41,-79.1,-6.3,20.1
743.0,212.0,41,-79.3,-6.3,19.8
743.0,212.0,41,-78.9,-6.2,21.0
743.0,212.0,41,-78.9,-6.2,21.5
743.0,212.0,41,-79.0,-6.2,20.1
743.0,212.0,41,-78.9,-6.3,19.4
743.0,212.0,41,-78.8,-6.3,20.8
743.0,212.0,41,-78.9,-6.2,20.6
743.0,212.0,41,-78.9,-6.3,20.5
743.0,212.0,41,-79.0,-6.3,20.4
743.0,212.0,41,-79.6,-6.3,19.5
743.0,212.0,41,-79.5,-6.3,18.5
743.0,212.0,41,-78.5,-6.3,19.4
743.0,212.0,41,-78.9,-6.3,17.7
743.0,212.0,41,-78.8,-6.3,19.4
743.0,212.0,41,-79.3,-6.2,20.0
743.0,212.0,41,-80.0,-6.3,17.4
743.0,212.0,41,-79.0,-6.3,19.4
743.0,212.0,41,-79.1,-6.3,19.4
743.0,212.0,41,-79.5,-6.6,18.6
743.0,212.0,41,-79.1,-6.3,17.6
743.0,212.0,41,-78.6,-6.3,20.4
743.0,212.0,41,-78.8,-6.3,19.8
743.0,212.0,41,-77.4,-6.2,20.7
743.0,212.0,41,-77.4,-6.1,20.9
743.0,212.0,41,-79.3,-6.3,22.0
743.0,212.0,41,-77.9,-6.1,24.0
743.0,212.0,41,-78.9,-6.1,21.8
743.0,212.0,41,-78.3,-6.2,21.8
743.0,212.0,41,-79.6,-6.3,19.8
743.0,212.0,41,-77.4,-6.1,22.6
743.0,212.0,41,-79.6,-6.1,20.6
743.0,212.0,41,-80.1,-6.1,20.8
743.0,212.0,41,-80.1,-6.1,19.5
743.0,212.0,41,-79.8,-6.3,19.9
743.0,212.0,41,-79.7,-6.2,20.9
743.0,212.0,41,-79.9,-6.3,21.0
743.0,212.0,41,-81.9,-6.5,18.8
743.0,212.0,41,-81.1,-6.4,17.8
743.0,212.0,41,-80.3,-6.1,18.1
743.0,212.0,41,-80.3,-6.2,17.7
743.0,212.0,41,-79.9,-6.3,20.0
