location_x,location_y,PCI,RSRP,RSRQ,SNR
536.0,292.0,39,-106.2,-7.1,
536.0,292.0,40,-116.4,-14.6,
536.0,292.0,39,-104.8,-6.3,
536.0,292.0,39,-104.5,-6.8,
536.0,292.0,39,-104.2,-7.0,
536.0,292.0,39,-103.8,-6.4,
536.0,292.0,39,-106.4,-7.3,
536.0,292.0,38,-118.4,-18.3,
536.0,292.0,38,-120.4,-18.9,
536.0,292.0,39,-104.1,-6.8,
751.0,284.0,41,-87.1,-6.3,23.9
751.0,284.0,41,-86.4,-6.1,19.3
751.0,284.0,41,-86.4,-6.3,17.4
751.0,284.0,41,-86.3,-6.3,17.7
751.0,284.0,41,-87.4,-6.4,19.2
751.0,284.0,41,-88.1,-6.3,20.6
751.0,284.0,41,-87.9,-6.3,23.0
751.0,284.0,41,-86.0,-6.3,20.9
751.0,284.0,41,-83.6,-6.3,22.9
751.0,284.0,41,-83.1,-6.3,21.8
751.0,284.0,41,-82.0,-6.2,24.5
751.0,284.0,41,-81.7,-6.7,24.7
751.0,284.0,41,-82.0,-6.3,23.4
751.0,284.0,41,-81.6,-6.3,25.4
751.0,284.0,41,-82.1,-6.3,25.5
751.0,284.0,41,-81.9,-6.2,25.4
751.0,284.0,41,-82.0,-6.8,25.4
751.0,284.0,41,-82.2,-6.2,26.0
751.0,284.0,41,-83.8,-5.8,24.8
751.0,284.0,41,-84.3,-6.3,23.4
751.0,284.0,41,-84.1,-6.7,23.4
751.0,284.0,41,-85.9,-6.6,22.0
751.0,284.0,41,-85.4,-6.1,22.2
751.0,284.0,41,-85.3,-6.4,23.5
751.0,284.0,41,-84.6,-6.0,22.5
751.0,284.0,41,-85.4,-6.8,23.6
751.0,284.0,41,-86.3,-5.9,23.5
751.0,284.0,41,-88.3,-6.4,22.3
751.0,284.0,41,-89.4,-6.4,20.7
751.0,284.0,41,-86.2,-6.5,20.6
751.0,284.0,41,-82.2,-6.1,24.5
751.0,284.0,41,-82.7,-6.3,25.5
751.0,284.0,41,-82.1,-6.2,26.1
751.0,284.0,41,-82.1,-6.2,26.1
751.0,284.0,41,-81.9,-6.4,27.1
751.0,284.0,41,-82.1,-6.1,26.5
751.0,284.0,41,-82.1,-6.0,25.5
751.0,284.0,41,-82.4,-6.1,25.7
751.0,284.0,41,-82.2,-5.9,26.6
751.0,284.0,41,-82.0,-6.3,26.3
751.0,284.0,41,-81.9,-6.0,25.9
751.0,284.0,41,-82.2,-6.3,21.8
751.0,284.0,41,-82.1,-5.9,22.6
751.0,284.0,41,-82.1,-5.8,20.6
751.0,284.0,41,-82.4,-9.1,17.0
751.0,284.0,41,-82.1,-5.9,20.0
751.0,284.0,41,-82.4,-6.0,25.2
751.0,284.0,41,-82.5,-11.0,18.9
751.0,284.0,41,-82.1,-10.0,20.2
751.0,284.0,41,-82.1,-6.0,20.1
751.0,284.0,41,-82.2,-6.0,21.6
751.0,284.0,41,-82.1,-6.4,20.3
751.0,284.0,41,-82.5,-6.0,23.9
751.0,284.0,41,-82.6,-6.1,23.4
751.0,284.0,41,-82.7,-6.2,24.1
751.0,284.0,41,-82.2,-6.0,21.7
751.0,284.0,41,-82.4,-6.1,23.0
751.0,284.0,41,-82.1,-6.0,22.7
751.0,284.0,41,-82.2,-6.1,24.5
751.0,284.0,41,-82.0,-6.1,23.7
751.0,284.0,41,-82.1,-6.1,23.1
751.0,284.0,41,-81.9,-6.7,24.6
751.0,284.0,41,-81.9,-6.1,24.3
751.0,284.0,41,-81.8,-6.0,24.8
751.0,284.0,41,-82.1,-6.1,25.2
751.0,284.0,41,-81.6,-5.4,24.6
751.0,284.0,41,-82.3,-5.9,24.4
751.0,284.0,41,-82.0,-6.1,24.0
751.0,284.0,41,-82.4,-6.2,24.4
751.0,284.0,41,-81.4,-6.1,24.2
751.0,284.0,41,-85.6,-6.4,18.7
751.0,284.0,41,-86.9,-6.4,18.8
751.0,284.0,41,-86.6,-6.4,18.7
751.0,284.0,41,-86.6,-6.1,21.1
751.0,284.0,41,-86.6,-6.3,21.8
751.0,284.0,41,-86.1,-6.3,21.6
751.0,284.0,41,-86.2,-6.3,21.5
751.0,284.0,41,-85.9,-6.3,21.1
751.0,284.0,41,-85.4,-6.3,21.0
751.0,284.0,41,-86.1,-6.3,21.6
751.0,284.0,41,-85.6,-6.3,21.4
751.0,284.0,41,-85.9,-6.2,20.7
751.0,284.0,41,-86.1,-6.2,20.8
751.0,284.0,41,-86.1,-6.3,21.1
751.0,284.0,41,-85.7,-6.1,21.3
751.0,284.0,41,-86.1,-6.2,21.4
751.0,284.0,41,-85.9,-6.2,21.4
751.0,284.0,41,-85.9,-6.1,21.6
751.0,284.0,41,-85.9,-6.1,21.9
751.0,284.0,41,-86.0,-6.3,21.4
751.0,284.0,41,-86.0,-6.1,21.9
751.0,284.0,41,-86.1,-6.2,21.8
751.0,284.0,41,-86.2,-6.6,21.9
751.0,284.0,41,-86.2,-6.1,22.0
751.0,284.0,41,-86.0,-6.6,22.0
751.0,284.0,41,-85.9,-6.6,21.9
751.0,284.0,41,-86.3,-6.3,21.6
751.0,284.0,41,-86.1,-6.2,20.8
751.0,284.0,41,-86.0,-6.1,21.1
751.0,284.0,41,-86.1,-7.2,21.2
751.0,284.0,41,-86.2,-6.1,20.4
751.0,284.0,41,-85.8,-10.8,17.6
751.0,284.0,41,-85.6,-10.0,19.7
751.0,284.0,41,-86.0,-6.3,22.0
751.0,284.0,41,-85.4,-6.6,21.6
751.0,284.0,41,-86.2,-6.6,22.1
751.0,284.0,41,-86.4,-6.3,22.3
751.0,284.0,41,-86.3,-6.1,22.3
751.0,284.0,41,-86.4,-6.6,23.0
751.0,284.0,41,-86.6,-6.6,22.9
751.0,284.0,41,-85.9,-6.3,20.9
751.0,284.0,41,-85.8,-6.1,19.5
751.0,284.0,41,-95.1,-6.8,18.9
751.0,284.0,41,-89.4,-7.0,13.8
751.0,284.0,41,-90.4,-5.9,15.8
751.0,284.0,41,-91.1,-7.0,17.2
751.0,284.0,41,-89.1,-6.3,19.8
751.0,284.0,41,-86.8,-6.6,21.4
751.0,284.0,41,-86.6,-6.4,21.4
751.0,284.0,41,-87.1,-6.3,21.4
751.0,284.0,41,-87.2,-6.4,20.5
751.0,284.0,41,-87.3,-6.3,20.5
751.0,284.0,41,-85.4,-5.9,21.6
751.0,284.0,41,-86.2,-6.3,22.0
751.0,284.0,41,-86.3,-6.1,21.7
751.0,284.0,41,-86.5,-6.8,20.7
751.0,284.0,41,-86.9,-6.3,20.8
751.0,284.0,41,-86.8,-6.6,20.5
751.0,284.0,41,-86.6,-6.3,21.4
751.0,284.0,41,-86.5,-6.6,22.0
751.0,284.0,41,-86.2,-6.7,22.8
751.0,284.0,41,-86.3,-6.3,23.1
751.0,284.0,41,-86.1,-6.6,22.6
751.0,284.0,41,-86.1,-6.3,21.8
751.0,284.0,41,-86.1,-6.3,21.9
751.0,284.0,41,-86.1,-6.3,22.0
751.0,284.0,41,-86.1,-6.2,21.8
751.0,284.0,41,-86.1,-6.3,21.2
751.0,284.0,41,-86.1,-6.7,21.9
751.0,284.0,41,-86.1,-6.3,21.9
751.0,284.0,41,-86.1,-6.5,21.7
751.0,284.0,41,-86.0,-6.6,21.7
751.0,284.0,41,-86.1,-6.6,21.9
751.0,284.0,41,-86.2,-6.3,21.7
751.0,284.0,41,-86.1,-6.6,21.2
751.0,284.0,41,-85.8,-6.1,21.9
751.0,284.0,41,-86.3,-6.3,22.3
751.0,284.0,41,-86.5,-6.3,20.9
751.0,284.0,41,-87.1,-6.8,20.6
751.0,284.0,41,-86.8,-6.3,18.2
751.0,284.0,41,-86.8,-6.2,22.2
751.0,284.0,41,-86.8,-6.5,22.2
751.0,284.0,41,-86.8,-6.6,22.0
751.0,284.0,41,-86.9,-6.2,21.7
751.0,284.0,41,-86.8,-6.2,21.7
751.0,284.0,41,-87.0,-6.3,20.8
751.0,284.0,41,-86.9,-6.6,20.6
751.0,284.0,41,-87.2,-6.3,18.5
751.0,284.0,41,-86.1,-6.4,21.0
751.0,284.0,41,-85.9,-6.6,18.3
751.0,284.0,41,-86.2,-6.3,21.3
751.0,284.0,41,-86.1,-6.7,19.7
751.0,284.0,41,-86.1,-6.7,20.2
751.0,284.0,41,-86.0,-6.3,20.5
751.0,284.0,41,-86.2,-6.3,20.5
751.0,284.0,41,-86.2,-6.4,20.2
751.0,284.0,41,-86.3,-6.3,19.6
751.0,284.0,41,-85.8,-6.2,21.0
751.0,284.0,41,-85.8,-6.2,21.2
751.0,284.0,41,-85.6,-6.4,22.8
751.0,284.0,41,-85.9,-6.3,22.3
751.0,284.0,41,-85.6,-6.4,24.8
751.0,284.0,41,-84.6,-6.1,23.6
751.0,284.0,41,-85.8,-6.3,20.3
751.0,284.0,41,-84.3,-6.3,22.0
751.0,284.0,41,-86.7,-6.8,19.4
751.0,284.0,41,-86.3,-6.6,18.3
