location_x,location_y,PCI,RSRP,RSRQ,SNR
896.0,187.0,42,-90.5,-6.1,27.8
896.0,187.0,42,-90.6,-6.1,27.8
896.0,187.0,42,-90.7,-6.3,27.4
896.0,187.0,42,-90.5,-6.1,28.4
896.0,187.0,42,-89.9,-5.8,27.2
896.0,187.0,42,-90.6,-6.1,27.3
896.0,187.0,42,-90.9,-6.1,27.3
896.0,187.0,42,-90.8,-6.1,28.1
896.0,187.0,42,-90.6,-6.1,29.5
896.0,187.0,42,-90.4,-6.1,28.8
896.0,187.0,42,-90.7,-6.1,28.1
896.0,187.0,42,-90.4,-6.1,27.1
896.0,187.0,42,-91.4,-6.1,27.4
896.0,187.0,42,-90.8,-6.1,30.0
896.0,187.0,42,-90.2,-6.1,27.6
896.0,187.0,42,-90.4,-6.1,27.8
896.0,187.0,42,-90.8,-6.2,27.3
896.0,187.0,42,-90.8,-6.1,28.7
896.0,187.0,42,-91.3,-6.2,27.6
896.0,187.0,42,-90.8,-6.2,27.5
896.0,187.0,42,-90.9,-6.2,27.3
896.0,187.0,42,-91.3,-6.2,28.6
896.0,187.0,42,-92.6,-6.2,27.5
896.0,187.0,42,-92.1,-6.2,27.7
896.0,187.0,42,-90.6,-6.1,28.0
896.0,187.0,42,-90.2,-6.3,26.9
896.0,187.0,42,-90.2,-6.2,28.0
896.0,187.0,42,-89.9,-6.2,27.6
896.0,187.0,42,-90.3,-6.1,27.3
896.0,187.0,42,-90.6,-6.1,28.3
896.0,187.0,42,-90.5,-6.1,27.1
896.0,187.0,42,-90.6,-6.1,27.5
896.0,187.0,42,-90.8,-6.1,27.6
896.0,187.0,42,-91.3,-6.3,27.0
896.0,187.0,42,-90.5,-6.0,28.3
896.0,187.0,42,-91.3,-6.2,28.0
896.0,187.0,42,-91.0,-6.1,27.5
896.0,187.0,42,-91.2,-5.8,27.8
896.0,187.0,42,-91.4,-5.7,27.7
896.0,187.0,42,-91.4,-6.3,28.1
896.0,187.0,42,-91.1,-6.1,28.9
